"isRequired","datatype","id","instanceType","uuid:ID","isEnabled","label","name"
"True","text","BiomedicalConceptProperty_116","BiomedicalConceptProperty","799712f7-f5b8-4e90-898f-ee256af16fbb","True","DSDECOD","DSDECOD"
"True","text","BiomedicalConceptProperty_117","BiomedicalConceptProperty","0d673668-99ee-4f0f-a8c1-0cf5970e460a","True","DSTERM","DSTERM"
"True","datetime","BiomedicalConceptProperty_118","BiomedicalConceptProperty","cf18191e-d4fc-417a-ab15-99a60fcbd3c1","True","DSSTDTC","DSSTDTC"
"True","string","BiomedicalConceptProperty_119","BiomedicalConceptProperty","2f8401ef-9ead-4f3e-b3d2-62c1df0e6b5f","True","Sex","Sex"
"True","string","BiomedicalConceptProperty_120","BiomedicalConceptProperty","80e2a9d8-7405-41f9-a751-58799836de5a","True","Race","Race"
"True","","BiomedicalConceptProperty_121","BiomedicalConceptProperty","9c4eb833-6b55-4d36-85c6-667f37802326","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_122","BiomedicalConceptProperty","d6a385ca-2b1a-4cf8-b8cb-f13f96e40941","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_123","BiomedicalConceptProperty","778d7548-edab-429a-9477-f86a63d9d732","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_124","BiomedicalConceptProperty","b747a042-7021-467a-bb7a-20902fbdc604","True","VSLOC","VSLOC"
"True","","BiomedicalConceptProperty_125","BiomedicalConceptProperty","472d04df-1151-47b8-92f7-ccbbf0b9f64a","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_126","BiomedicalConceptProperty","d7c843ea-9e8d-48f0-8ec2-478d76c04595","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_127","BiomedicalConceptProperty","80c4dfc2-cb6e-40f4-865d-63b0811c5beb","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_128","BiomedicalConceptProperty","8d70e596-9a2c-4f06-8542-13996e2d78a9","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_129","BiomedicalConceptProperty","d65fecea-f064-4879-9326-90afa2c41beb","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_130","BiomedicalConceptProperty","d2ced740-67df-45dd-8337-458ae7d1a296","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_131","BiomedicalConceptProperty","691728b9-d5a3-4964-97b4-f6cc56bb5905","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_132","BiomedicalConceptProperty","664c9d97-e9db-4765-b223-b563d8a50e01","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_133","BiomedicalConceptProperty","4c490bde-c691-4e19-8fa2-64d2f722ed29","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_134","BiomedicalConceptProperty","a70e3f6e-2d1a-47a1-baa1-fd642f28b7fc","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_135","BiomedicalConceptProperty","88e774b8-1608-4dce-abdf-19923131775e","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_136","BiomedicalConceptProperty","e1dd82da-4824-4053-ad6b-e32640eed8e2","True","LBTESTCD","LBTESTCD"
"True","text","BiomedicalConceptProperty_137","BiomedicalConceptProperty","e44f0ce0-d9d9-42a4-b3e0-bdf7c8f06b41","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_138","BiomedicalConceptProperty","f182418f-3db2-4a34-bb0d-47e606f46388","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_139","BiomedicalConceptProperty","a2c7ff4d-9805-46a7-90d7-39432dfb9f02","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_140","BiomedicalConceptProperty","2a18808e-3ea3-43a7-93cb-24baba1d1cec","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_141","BiomedicalConceptProperty","855eb3eb-bab5-49eb-bf23-4d6c5bc57bd4","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_142","BiomedicalConceptProperty","37ca49f5-961b-4899-ac48-9c5ae482e317","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_143","BiomedicalConceptProperty","aa9a1be5-dd32-4e5f-a1cf-3492e8c12da0","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_144","BiomedicalConceptProperty","f0e18a44-bad0-4279-97dc-590603625803","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_145","BiomedicalConceptProperty","2fee2f62-213e-405d-a0ec-73c6a1634a3b","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_146","BiomedicalConceptProperty","f7a2070f-f030-474c-ad2e-921d6d37be46","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_147","BiomedicalConceptProperty","97554600-f707-4db2-aaa4-19fec10bcf52","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_148","BiomedicalConceptProperty","18814930-5b03-42af-849d-c16243be599b","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_149","BiomedicalConceptProperty","669d991f-fb9f-4e39-bc7f-857a1a7a5259","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_150","BiomedicalConceptProperty","d49ae00f-e6fa-4688-a7e7-926595f2cfc7","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_151","BiomedicalConceptProperty","5b57bb1c-5781-4fec-bab3-cf2f71115ecd","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_152","BiomedicalConceptProperty","4d14c70e-293c-4764-b49c-132d544202c5","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_153","BiomedicalConceptProperty","3dcf3f7e-63fb-47b5-8131-63836a92ee45","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_154","BiomedicalConceptProperty","460af397-e2c6-4b87-a0a5-c64363a1809b","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_155","BiomedicalConceptProperty","66d94a9e-7dc5-42e0-b7ea-f02bafeb6421","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_156","BiomedicalConceptProperty","081d6a9a-f86a-4905-b420-19f936eadec1","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_157","BiomedicalConceptProperty","aba8d7e2-8bec-4f79-9303-a87a7e55ff97","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_158","BiomedicalConceptProperty","976b0abb-9a00-4492-92d1-5a80cd965ca8","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_159","BiomedicalConceptProperty","c050f515-0017-442a-bbf2-2e268cf84726","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_160","BiomedicalConceptProperty","39bd6be2-de07-436f-9b22-a22e74c5234c","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_161","BiomedicalConceptProperty","b6c6e4a8-9883-4fdc-8c53-f1412996b8ed","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_162","BiomedicalConceptProperty","320d5a23-1f78-46d8-9111-0bd5a315bf25","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_163","BiomedicalConceptProperty","3e081891-c9ba-4ba4-9ec0-186d742ef740","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_164","BiomedicalConceptProperty","995fe46e-7a18-4f8e-88ee-276cd5e72c9f","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_165","BiomedicalConceptProperty","0b9df654-cdc1-499f-86e2-abf0040b8710","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_166","BiomedicalConceptProperty","342c43a4-02eb-4902-bcce-cd10218cb09c","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_167","BiomedicalConceptProperty","9119cb09-dec3-49d4-9d3f-c7d67f8d4563","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_168","BiomedicalConceptProperty","c09c8d1e-de31-4327-b2b8-21b1e6307b7d","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_169","BiomedicalConceptProperty","0e9a11b2-1519-48d6-94d6-b841800a8371","True","LBFAST","LBFAST"
"True","text","BiomedicalConceptProperty_1","BiomedicalConceptProperty","9ae7a06c-d475-4308-a9ac-6990257ff352","True","AETERM","AETERM"
"True","text","BiomedicalConceptProperty_2","BiomedicalConceptProperty","a2402e58-1471-4e1d-aae0-a42b6880a29f","True","AEDECOD","AEDECOD"
"True","text","BiomedicalConceptProperty_3","BiomedicalConceptProperty","020d99cb-bbbf-4647-ab74-479a95ca54a0","True","AEPRESP","AEPRESP"
"True","text","BiomedicalConceptProperty_4","BiomedicalConceptProperty","fcc3ae62-ea60-4e74-99ad-8813470cdd82","True","AELOC","AELOC"
