"description","id","instanceType","uuid:ID","label","name"
"Dictionary for IE","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","211c0a82-dd99-49af-ad61-0a347887a17e","IE Dictionary","IE_Dict"
"Dictionary for Study Assessments","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","d0cefc21-c310-4d0b-8e06-cbe39b41ec3c","Assessment Dictionary","AS_Dict"
