"maxValue","isApproximate","minValue","id","instanceType","uuid:ID"
"300.0","False","300.0","Range_2","Range","839d5926-1be9-4dea-82bc-8b08a076062b"
"300.0","False","300.0","Range_1","Range","250d110f-76f9-4755-8cba-96e390d9aa69"
"100.0","False","50.0","Range_3","Range","4fb73628-417c-4169-9810-c6b000346a8d"
