"dateValue","description","id","instanceType","uuid:ID","label","name"
"2006-06-01","Design approval date","GovernanceDate_1","GovernanceDate","85cd917b-47e2-4220-9311-db60f131009d","Design Approval","D_APPROVE"
"2006-07-01","Protocol document approval date","GovernanceDate_2","GovernanceDate","58da1c65-24f7-4570-b36e-483b64ac6170","Protocol Approval","P_APPROVE"
