"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","8a7dc8c8-c90d-4498-bc29-2747aa16c4be","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","e84055e3-5b9d-4a51-9fa1-303c8470a54f","StudyAmendmentReason_2"
