"standardCodeAliases","id","uuid:ID"
"[]","AliasCode_1","9c08ae2e-fdd3-494b-977d-73e0c3caf958"
"[]","AliasCode_3","6646bf36-6a77-4ef2-adf6-6ca5452bcc59"
"[]","AliasCode_4","5afdfd16-a246-4bed-8dd9-4d8ded67955d"
"[]","AliasCode_109","ace32ab8-4565-4567-8f4d-53428ed98f5d"
"[]","AliasCode_110","8a9485fa-5eee-4710-bebc-150e310d6c45"
"[]","AliasCode_111","5a316523-6bee-48d1-8550-fb3bfdca7cac"
"[]","AliasCode_108","c4a2eeb0-87f8-4d55-81c9-69d87fcc4cae"
"[]","AliasCode_113","e38c4b47-30f3-40f1-b7fe-8a5af457dc1f"
"[]","AliasCode_114","8764fc8e-bdbb-4754-94e4-9d17e1d6a1b8"
"[]","AliasCode_112","2a8d78b3-fcf6-4cea-bc18-7e92a40a1b7c"
"[]","AliasCode_116","d4f5cb65-a38c-40f3-a4f2-dd1881ad9de8"
"[]","AliasCode_117","11edcf3b-a7ec-47a2-84e0-31c60a2c8b2e"
"[]","AliasCode_115","539233b7-6e0c-4b80-bad8-20832fb1d164"
"[]","AliasCode_119","221c9f46-1c46-43dd-bd45-2eae20f659d6"
"[]","AliasCode_120","43ea9906-8c26-45f0-9233-d3654bc20c26"
"[]","AliasCode_121","ca853fdd-1e2a-4ce1-9f60-b99278a8fabb"
"[]","AliasCode_122","c3a5d4bb-a2cd-4dd9-89d4-df70d62ff645"
"[]","AliasCode_118","2ce6b26d-398b-4d02-929b-268f6909e986"
"[]","AliasCode_124","0595fdc0-78fa-4721-8e45-e138482e3758"
"[]","AliasCode_125","0167037d-de38-4d5e-a66b-23482266c8c4"
"[]","AliasCode_126","b7929f3c-fcd3-46ca-9dc0-cc660af988de"
"[]","AliasCode_127","cf20d5ae-6d6a-41d0-9147-5cad8be23874"
"[]","AliasCode_123","52080334-d1ed-400c-85b2-5e0fdcc3d999"
"[]","AliasCode_129","f0c852c2-01ac-478b-b623-355e6ee1fc6b"
"[]","AliasCode_130","f7688b09-9a14-46d3-a511-30a481a85c5f"
"[]","AliasCode_131","94daf65a-9494-4ecd-824c-8a24bab9b03a"
"[]","AliasCode_132","1d3156d5-40c8-4f37-83b4-3855d51d56f4"
"[]","AliasCode_128","3c6d19eb-70b4-49af-a20c-2ff5c5c8f83d"
"[]","AliasCode_134","e5d15722-8a66-4fb5-9c7f-cb223747e4f2"
"[]","AliasCode_135","4641d84e-662f-4079-9c9c-09873bcd1db3"
"[]","AliasCode_136","8bd94d57-1a84-47e9-8f2c-6b2636a4160b"
"[]","AliasCode_137","5b2a1e42-6892-4546-bda7-9da3321e6f99"
"[]","AliasCode_133","65895893-e6da-4960-a5b2-e7be60542248"
"[]","AliasCode_139","ecc659ee-aa74-4699-9802-62ffeff9bd37"
"[]","AliasCode_140","051a1490-d0bc-4677-b3b5-01949399e11b"
"[]","AliasCode_141","75264027-fada-4dba-b45d-2676bb1352d5"
"[]","AliasCode_142","8845e740-3a38-431f-917a-60a0ae54425b"
"[]","AliasCode_138","a97f712c-6fe1-4b32-bc56-5055b3d4511f"
"[]","AliasCode_144","8b067405-b294-4890-a406-06b18d4e4248"
"[]","AliasCode_145","611508c4-2947-41cc-9a47-fc786f37c388"
"[]","AliasCode_146","e470244a-3b3b-4d63-a21a-32c02ea78c8e"
"[]","AliasCode_147","b5d40ea4-32da-4a81-ae6d-a5fd62ec58dc"
"[]","AliasCode_143","8b6c1c8d-8c72-4b1f-8c96-1a6f3a572e84"
"[]","AliasCode_149","5d4dd910-2fac-4e8e-a133-ea5502379892"
"[]","AliasCode_150","cc2e7c0a-8fb2-40a3-89c5-4e3c7aab197f"
"[]","AliasCode_151","c159ece6-99bb-40b8-831e-3a933332d5e0"
"[]","AliasCode_152","d9500456-bcb3-4a9c-a5ed-48747d4c9c9a"
"[]","AliasCode_148","3e6ae8c4-5e06-4c6b-94cc-4ac5c1520e32"
"[]","AliasCode_7","ac4813d3-4ce1-4d0d-991e-f209f3df9e9f"
"[]","AliasCode_8","7cfe9304-3d22-48a9-9643-296bf2156d38"
"[]","AliasCode_9","cd54cda5-ce93-418b-8312-f65dd6e494c7"
"[]","AliasCode_10","2dfe55ec-4244-45db-b669-1fa7c3a611a1"
"[]","AliasCode_11","9a7e4a7a-8c9a-4c88-bcf6-b6a14cd39d51"
"[]","AliasCode_12","0b49f20e-1c7c-4c29-a178-8b2383b22ed1"
"[]","AliasCode_13","a5fac36c-8f17-4caf-9c81-4cf361a135f2"
"[]","AliasCode_14","3d970eac-f787-411c-a0e7-2e7a386328f7"
"[]","AliasCode_15","37e9d8bf-3ac8-4a0e-9bfd-dcb0db89a6a3"
"[]","AliasCode_16","ac0fb25c-0a37-448f-a10a-75e63a2c5420"
"[]","AliasCode_17","516b74ef-afa1-4374-b3db-e511cf1e093d"
"[]","AliasCode_18","5c246a73-2d03-43f0-84d7-88b6ab3a8813"
"[]","AliasCode_19","a94a4e50-7edf-43bc-9f95-f5b7760ef365"
"[]","AliasCode_20","fa3fd04a-1b01-4dd5-a042-9553a63dc38a"
"[]","AliasCode_6","2c602f80-1696-4927-b947-48ff807c5dc4"
"[]","AliasCode_22","ebc59ee4-4714-4e33-bc41-6adf535847bc"
"[]","AliasCode_23","3b925e23-709a-4e5a-9ed8-a330c07a922b"
"[]","AliasCode_24","47f42557-a967-4159-91a9-8ca8127978de"
"[]","AliasCode_25","bf12f351-b590-4a6d-a9d5-d91dd72a09f5"
"[]","AliasCode_26","452decc0-cbb2-47d7-96a0-8e5bc80a9252"
"[]","AliasCode_27","b33360cc-4d83-4547-8de1-079001e3bf8a"
"[]","AliasCode_21","c9294ecc-d707-46eb-92a4-1f887be002bb"
