"id","label","description","name","uuid:ID","dateValue"
"GovernanceDate_1","Design Approval","Design approval date","Approval","fabb5679-b78f-4b8e-87dd-c85df2999cde","2006-07-01"
"GovernanceDate_2","Protocol Approval","Protocol document approval date","Approval","06de66d6-7db8-47fc-934c-2e1f6882b635","2006-07-01"
