"responseCodeEnabled","id","uuid:ID"
"True","ResponseCode_17","7a653ecc-0519-482f-adcf-a5cdd0cd00dc"
"True","ResponseCode_18","923dac61-e1fd-4057-aff7-bf1dc0bd5190"
"True","ResponseCode_19","3599b251-c592-4cfe-8bc7-2a28e5611393"
"True","ResponseCode_20","578d64a7-f2c4-4941-9d86-3c3d10fcc107"
"True","ResponseCode_21","1c1dcacd-f020-400b-a75f-985d5b5251dd"
"True","ResponseCode_22","45cd14d3-37ac-42c4-9c3d-81514c3a9fb7"
"True","ResponseCode_23","ae575721-35ff-4f4c-bec2-04a656db5336"
"True","ResponseCode_24","780d0e2c-f753-4088-a9f9-d458c50a3192"
"True","ResponseCode_1","87f55da4-9828-4ae1-80d4-9eec4b8c5462"
"True","ResponseCode_2","2ee446a7-0470-4c38-a2f8-a1236a76f6cb"
"True","ResponseCode_3","d755d2a2-1734-419a-a927-06547839c843"
"True","ResponseCode_4","dfee11f4-7d85-4c32-b74c-00a08add5ec9"
"True","ResponseCode_5","63f2dde8-85c9-4f8c-9c42-a76ddc127e8c"
"True","ResponseCode_6","66789ee5-f660-47d8-bd82-2a008ee7160e"
"True","ResponseCode_7","aa1af7fd-405b-4f46-a743-136d7e8895a4"
"True","ResponseCode_8","707d083b-3cd7-42fd-a7f6-5bc2c5608f11"
"True","ResponseCode_9","9dfea622-e204-45b3-93cb-679193a7fc2f"
"True","ResponseCode_10","9576b803-b050-47dc-ba3c-3cf975cf1ddc"
"True","ResponseCode_11","206e284c-6faf-44e6-9f46-8682368c9915"
"True","ResponseCode_12","feb91850-360f-4164-97f3-959051322b52"
"True","ResponseCode_13","1fbee598-ba31-44e3-8cbf-07944dea8ea3"
"True","ResponseCode_14","c80f3bba-ac2e-4411-ab3e-c6a8854a435b"
"True","ResponseCode_15","e87056e5-88cd-405e-b7ae-069250f9b383"
"True","ResponseCode_16","81e6278c-805d-4be2-a603-14c920c35975"
