"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","38bf416c-9e18-4a41-9756-2703589b6881","","StudyAmendmentReason_1"
"StudyAmendmentReason","56a02bdd-3f65-4776-9e2f-07cc0916f4ea","Fix typographical errors","StudyAmendmentReason_2"
