"id","uuid:ID","instanceType"
"StudyCell_1","a26a2545-525d-4876-90b9-2fbefd7af1e2","StudyCell"
"StudyCell_2","669f16a9-d536-4971-b96b-25f9b4a14c49","StudyCell"
"StudyCell_3","e2c3316a-2fab-46c1-87fd-693302bc4f0d","StudyCell"
"StudyCell_4","39e17c7d-4a64-42a9-81b4-8f6e81a1ed34","StudyCell"
"StudyCell_5","9493d62d-d286-4966-9b5d-5c2925608857","StudyCell"
"StudyCell_6","be79891d-4b18-4ace-be26-0c06203d0f76","StudyCell"
"StudyCell_7","5d37ff8f-c4e7-439c-9bef-a5a702b57a6b","StudyCell"
"StudyCell_8","bb503fdc-4497-433e-adce-ab358d02dfcc","StudyCell"
"StudyCell_9","44259516-9347-4430-b3c3-7ee9b118c09f","StudyCell"
"StudyCell_10","e87d925d-3351-4ed0-9bfd-79f5a4a0025a","StudyCell"
"StudyCell_11","b60f7e66-532b-4bd3-b08c-3815d8096249","StudyCell"
"StudyCell_12","3a5adf44-fb0c-4def-961f-038fdf1e6cc9","StudyCell"
"StudyCell_13","2e4e5250-6e8b-417c-a825-3c78e70ff618","StudyCell"
"StudyCell_14","5dc148b8-67e4-40f6-a4d7-6a1969424a96","StudyCell"
"StudyCell_15","822d89c2-e046-48ee-94c9-23d39a39a627","StudyCell"
