"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","d2a8e43d-fef1-4899-8adb-55a7cf499969","StudyAmendmentReason",""
"StudyAmendmentReason_2","02c4cfe5-410b-443d-9434-f65ac184ea17","StudyAmendmentReason","Fix typographical errors"
