"text","id","uuid:ID","name"
"ITT","AnalysisPopulation_1","2075a145-cf97-427b-891a-ab4e6cf38995","AP_1"
"ITT","AnalysisPopulation_2","1d79601f-3732-40f7-8f97-60ef7ba5e0c7","AP_4"
