"description","name","uuid:ID","label","id"
"","COHORT1","b612f579-ab74-4005-b1b9-92778bc48d96","","StudyCohort_1"
"","COHORT2","3a665f15-7596-401b-9187-153379236037","","StudyCohort_2"
