"isApproximate","uuid:ID","minValue","id","maxValue"
"False","88884a3e-7d89-4378-85b7-137ce3723be0","120.0","Range_2","120.0"
"False","2635f48a-8b20-48a0-8f65-ce1cbfd4da47","100.0","Range_1","100.0"
