"value","id","uuid:ID"
"1.0","Quantity_3","37264cb2-095a-4b83-b184-f240bca956ff"
"14.0","Quantity_1","f41df9d3-3f6f-4705-b8de-18aa67ac50eb"
"12.0","Quantity_2","12cde5f1-b286-4c6a-a500-daf36fbf82a2"
"1.0","Quantity_6","d09880cd-5336-4f75-957f-39be516d7e66"
"14.0","Quantity_4","f3d07733-374d-411c-95ff-08252eb04bde"
"12.0","Quantity_5","d5216424-9e0f-4f0e-aa49-623b1751601a"
