"minValue","instanceType","maxValue","isApproximate","id","uuid:ID"
"300.0","Range","300.0","False","Range_2","a9e816dd-61b8-4c2c-8cce-84d5440ece78"
"300.0","Range","300.0","False","Range_1","0c712e3b-0235-4f4a-bde0-db4a0e5f3c95"
"50.0","Range","100.0","False","Range_3","fc4008c0-0857-4f7a-85f8-9c6f8729292b"
