"instanceType","otherReason","uuid:ID","id"
"StudyAmendmentReason","","e3f2dfae-6d47-4cab-b9f0-c441866ffe3e","StudyAmendmentReason_1"
"StudyAmendmentReason","Fix typographical errors","a99988ce-83fb-483f-8cee-846dce449832","StudyAmendmentReason_2"
