"name","description","parameterMap","uuid:ID","id","instanceType","label"
"IE_Dict","Dictionary for IE","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","77a34b97-dd98-4682-b58c-ee1d289c43f7","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","IE Dictionary"
"AS_Dict","Dictionary for Study Assessments","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","e83a8358-168a-4354-a512-8bf974293af5","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Assessment Dictionary"
