"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","c8c77da3-1983-4815-93f1-2958de65687c","StudyAmendmentReason",""
"StudyAmendmentReason_2","e76ef248-ee4c-46a5-8b1f-cd769e3c1dc9","StudyAmendmentReason","Fix typographical errors"
