"uuid:ID","name","id","dateValue","description","label","instanceType"
"1990f374-948e-434a-a260-b404e8b5cfb6","D_APPROVE","GovernanceDate_1","2006-06-01","Design approval date","Design Approval","GovernanceDate"
"d9c18438-d30e-4792-b3ab-259f5172f2c4","P_APPROVE","GovernanceDate_2","2006-07-01","Protocol document approval date","Protocol Approval","GovernanceDate"
