"minValue","uuid:ID","id","maxValue","isApproximate","instanceType"
"300.0","3776d9f9-4a80-418f-89aa-8630a50cadaa","Range_2","300.0","False","Range"
"300.0","37880448-c818-4739-81c7-623f2ecfd657","Range_1","300.0","False","Range"
"50.0","4e53acd2-c9ed-4596-b23b-ca7f5f7c8351","Range_3","100.0","False","Range"
