"uuid:ID","name","id","description","label","parameterMap","instanceType"
"e078f1da-eca2-4474-a3fe-22c5da1c4996","IE_Dict","SyntaxTemplateDictionary_1","Dictionary for IE","IE Dictionary","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary"
"9bc35512-b295-48ad-bd0e-ab4d6bdc1f2c","AS_Dict","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","Assessment Dictionary","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary"
