"name","uuid:ID","instanceType","description","label","id"
"IE_Dict","1e2a9a42-2669-4d0c-b9aa-b93fbc60a35e","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1"
"AS_Dict","26c628b9-f06e-46dc-a214-6c68d801fc04","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2"
