"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","b2d7f1df-59ba-4ff4-a274-29aba50f10a5","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","a4d71d64-077e-4b42-9995-f8f03f2f579c","StudyAmendmentReason"
