"instanceType","datatype","uuid:ID","isEnabled","label","name","isRequired","id"
"BiomedicalConceptProperty","text","35e17d1a-d1a8-4385-afdc-be27d5da2456","True","DSDECOD","DSDECOD","True","BiomedicalConceptProperty_116"
"BiomedicalConceptProperty","text","8c519acc-b0ee-451c-8d9d-82cfdc3be111","True","DSTERM","DSTERM","True","BiomedicalConceptProperty_117"
"BiomedicalConceptProperty","datetime","affb12fb-bfec-43b1-8a18-26425996cdf9","True","DSSTDTC","DSSTDTC","True","BiomedicalConceptProperty_118"
"BiomedicalConceptProperty","string","9dbc9075-dee4-4e4c-910c-e76c382a6c53","True","Sex","Sex","True","BiomedicalConceptProperty_119"
"BiomedicalConceptProperty","string","ab492daa-2a41-4728-a1f3-082019aae28a","True","Race","Race","True","BiomedicalConceptProperty_120"
"BiomedicalConceptProperty","","4332d5b5-d997-40ee-9f35-96c915004570","True","VSTESTCD","VSTESTCD","True","BiomedicalConceptProperty_121"
"BiomedicalConceptProperty","float","4f7c2b8a-c084-41eb-8caf-c205a03830c0","True","VSORRES","VSORRES","True","BiomedicalConceptProperty_122"
"BiomedicalConceptProperty","","2b7f696b-f0ca-487b-99fe-c2cb2755a4fe","True","VSORRESU","VSORRESU","True","BiomedicalConceptProperty_123"
"BiomedicalConceptProperty","","cde16be6-4d7f-4edf-9a42-9ae75c499cb5","True","VSLOC","VSLOC","True","BiomedicalConceptProperty_124"
"BiomedicalConceptProperty","","4db07269-13da-4a81-864c-3ebc5370f86a","True","VSTESTCD","VSTESTCD","True","BiomedicalConceptProperty_125"
"BiomedicalConceptProperty","float","142b0b52-7ae6-42bb-959a-cabb190fcac7","True","VSORRES","VSORRES","True","BiomedicalConceptProperty_126"
"BiomedicalConceptProperty","","7df667fe-438c-4545-b38b-1d7f56c80198","True","VSORRESU","VSORRESU","True","BiomedicalConceptProperty_127"
"BiomedicalConceptProperty","","f3ac07e9-f5fa-4707-9857-ab66b9bc15ed","True","VSTESTCD","VSTESTCD","True","BiomedicalConceptProperty_128"
