"instanceType","otherReason","uuid:ID","id"
"StudyAmendmentReason","","bd259fae-d887-46e8-8d20-52bb4ed47841","StudyAmendmentReason_1"
"StudyAmendmentReason","Fix typographical errors","01a777d7-d860-4edf-ad14-513ee587b565","StudyAmendmentReason_2"
