"instanceType","isApproximate","uuid:ID","maxValue","minValue","id"
"Range","False","c9dc9b01-fea8-488e-8214-b0cb397ef527","300.0","300.0","Range_2"
"Range","False","3ae785c9-8929-4048-a2af-a6e7598c08fa","300.0","300.0","Range_1"
"Range","False","a3bbd0c6-1e20-4935-8b73-b088a0d097b5","100.0","50.0","Range_3"
