"instanceType","uuid:ID","description","label","name","id"
"SyntaxTemplateDictionary","6d99f9e3-3b39-4232-bba4-ffa558eb6ea8","Dictionary for IE","IE Dictionary","IE_Dict","SyntaxTemplateDictionary_1"
"SyntaxTemplateDictionary","a5b5076f-fb10-49d9-a0da-4e1cbc8f0508","Dictionary for Study Assessments","Assessment Dictionary","AS_Dict","SyntaxTemplateDictionary_2"
