"instanceType","uuid:ID","maxValue","id","minValue","isApproximate"
"Range","9ba0a31d-88c6-4360-b3a4-9290c142f335","300.0","Range_2","300.0","False"
"Range","c86d1bf6-ba88-4ccb-872c-9e1f90e8810b","300.0","Range_1","300.0","False"
"Range","1b33a905-88a8-4239-a2d0-f478eca67718","100.0","Range_3","50.0","False"
