"instanceType","id","otherReason","uuid:ID"
"StudyAmendmentReason","StudyAmendmentReason_1","","c43b4960-d917-461a-af24-bd49683c2c26"
"StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors","3c6c9f66-6fa2-406b-bc5c-2287dd645b46"
