"id:ID","codeSystem","id","code","decode","uuid","codeSystemVersion"
"1","http://www.cdisc.org","Code_1","C98388","Interventional Study","abd57909-e321-4cce-bb5a-58171c4f2357","2023-09-29"
"2","http://www.cdisc.org","Code_2","C15602","Phase III Trial","83790cb3-7072-4b29-9452-edd9971ab2e6","2023-09-29"
"3","http://www.cdisc.org","Code_6","C132352","Sponsor Approval Date","e97f077e-8765-40d8-8478-46bac198def5","2023-09-29"
"4","http://www.cdisc.org","Code_8","C25464","Country","742dad95-fc4f-4324-8a97-3f2ca9df5beb","2023-09-29"
"5","ISO 3166 1 alpha3","Code_7","GBR","United Kingdom of Great Britain and Northern Ireland","60991b2b-8380-48ed-9058-c30d9648855d","2020-08"
"6","http://www.cdisc.org","Code_10","C25464","Country","cf56ca4a-111e-48be-83e9-9433ff5ca7e5","2023-09-29"
"7","ISO 3166 1 alpha3","Code_9","FRA","France","9bf9964f-1e45-4559-9241-bcad5f86df5f","2020-08"
"8","http://www.cdisc.org","Code_12","C41129","Region","4ed15979-b649-4dc4-9fa3-d7c0148db26b","2023-09-29"
"9","ISO 3166 1 alpha3","Code_11","142","Asia","382800e2-293a-4e8b-85b0-7a4a1007665c","2020-08"
"10","http://www.cdisc.org","Code_14","C25464","Country","1fde644c-f4d4-4133-b888-c8bbbe5d3b34","2023-09-29"
"11","ISO 3166 1 alpha3","Code_13","USA","United States of America","67ec4d2a-d07e-41f1-b1cb-6bba89718929","2020-08"
"12","http://www.cdisc.org","Code_30","C17649","Other","eda4bafd-b93d-49df-a1e8-231a5118f67f","2023-09-29"
"13","http://www.cdisc.org","Code_32","C41129","Region","e09a162a-b3c0-4507-b301-291b758a6a9d","2023-09-29"
"14","ISO 3166 1 alpha3","Code_31","150","Europe","e3e2c045-805a-4f8a-bf11-372d9970bf1c","2020-08"
"15","http://www.cdisc.org","Code_27","C99904x7","Change In Strategy","00dc7a5a-e783-48d1-acfd-2c4357becdcd","2023-09-29"
"16","http://www.cdisc.org","Code_28","C99904x10","Investigator/Site Feedback","b77593fa-05f6-47f0-8feb-929b070b3966","2023-09-29"
"17","http://www.cdisc.org","Code_29","C68846","Global","df270f23-3485-468a-a41d-49d1af4723d6","2023-09-29"
