"id:ID","id","standardCodeAliases","uuid"
"116","AliasCode_1","[]","d5834a89-5a26-49e2-ad98-e6cc0e496ae6"
"117","AliasCode_2","[]","372dafee-3cd5-4196-905a-f779f2e2fb19"
"118","AliasCode_3","[]","e15716fe-9ff7-4bde-bd2d-bc08d7a9a7b9"
"119","AliasCode_4","[]","35f77e2e-5114-4f27-a219-30e64ca12230"
"120","AliasCode_5","[]","776bace2-7fbc-48da-8e9f-caba2788524e"
"121","AliasCode_9","[]","0a2d68cc-6bb7-4397-a0ca-c664c111caf9"
"122","AliasCode_7","[]","e6dfea52-badc-4336-addc-aa57a58a2d1c"
"123","AliasCode_8","[]","9ccf1ca1-1bc3-4c91-b2a6-046a723171b8"
"124","AliasCode_12","[]","fe07bfdb-fb50-4093-a2a8-e32dd8828335"
"125","AliasCode_11","[]","4018d729-fd8a-476d-ab0e-4a4c51beab99"
"126","AliasCode_14","[]","e6ccc862-0c0b-4576-9348-7c1fcab0ca07"
"127","AliasCode_13","[]","e8526e6e-8192-4ff1-950d-a4b961616de0"
"128","AliasCode_16","[]","9ffcced5-3141-4700-87d5-8c086a871585"
"129","AliasCode_17","[]","b91f5adc-02d3-40ed-a1d8-327f7a20c775"
"130","AliasCode_15","[]","eafa04cd-063a-4d05-9bbc-b7b8e4cbe789"
"131","AliasCode_10","[]","416acccf-7cbd-4f4c-b3b3-5c73b2c0a5a1"
"132","AliasCode_6","[]","b524908b-db75-4d11-baeb-c131be93bb6b"
