"id:ID","name","label","id","text","uuid","description"
"224","AP_1","","AnalysisPopulation_1","ITT","35a6620b-31fb-4a00-af83-8c83ff4ddba5",""
"225","AP_4","","AnalysisPopulation_2","ITT","30575df8-75ba-4dcf-82df-cf8360dea504",""
