"description","label","uuid:ID","instanceType","name","id"
"Dictionary for IE","IE Dictionary","8bcd6cb9-9b1b-464f-b181-257332c0b14d","SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","724bf756-7038-4956-9b5a-9361833d47ca","SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2"
