"label","uuid:ID","isEnabled","isRequired","instanceType","name","id","datatype"
"DSDECOD","983e461b-7444-4468-9db4-d40de27a45ed","True","True","BiomedicalConceptProperty","DSDECOD","BiomedicalConceptProperty_116","text"
"DSTERM","b84aedda-ca72-4003-8d60-edb5c56d7a9e","True","True","BiomedicalConceptProperty","DSTERM","BiomedicalConceptProperty_117","text"
"DSSTDTC","12957910-c40e-4f74-825a-8022b202e5d3","True","True","BiomedicalConceptProperty","DSSTDTC","BiomedicalConceptProperty_118","datetime"
"Sex","7f37c0f5-184d-4f80-8ba8-994bb48cf2ce","True","True","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_119","string"
"Race","51387c23-3649-405c-b9e4-aa165857316e","True","True","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_120","string"
"VSTESTCD","0293960a-397e-4f20-9fb7-2ba443c76025","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_121",""
"VSORRES","f3383744-fa48-4296-9369-d71a65da8a5a","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_122","float"
"VSORRESU","e6c73861-2bc7-499b-9184-d3489cfe8977","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_123",""
"VSLOC","58f2d73d-5e09-4a7d-8e3e-0fa215085bcb","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_124",""
"VSTESTCD","2083aae3-c926-40d2-a6be-2fbfd3a99253","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_125",""
"VSORRES","9506d39d-a7fb-4cfe-9b2a-c6b97a8ab42b","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_126","float"
"VSORRESU","89d809f5-dff4-4ef3-b702-cde6f803d40d","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_127",""
"VSTESTCD","be937b13-cc03-42e7-8d4c-bbae4cfc729c","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_128",""
"VSORRES","2beceaa2-cedc-4d98-96db-77c1e4bdbdbf","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_129","float"
"VSORRESU","878e5a96-db03-4a03-9845-2361ad5c08d0","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_130",""
"LBTESTCD","4c5afb47-946c-47d3-be70-66eda4f0ff77","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_131",""
"LBORRES","36068bd0-6dc4-4ebd-a31e-f29d4fbf1215","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_132","float"
"LBORRESU","447e74ad-0e3d-4a74-8f37-dcee3d516314","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_133",""
