"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","0c07b8c1-732a-43b9-aab6-b8a80a00c845"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","467ce841-c299-4769-8ffa-0b253c6a2a45"
