"description","label","uuid:ID","instanceType","name","id","dateValue"
"Design approval date","Design Approval","190d6776-579b-4bfd-af71-3aff8a65d6ef","GovernanceDate","D_APPROVE","GovernanceDate_1","2006-06-01"
"Protocol document approval date","Protocol Approval","59628cc2-7771-4826-9ea5-e7e8d580e40c","GovernanceDate","P_APPROVE","GovernanceDate_2","2006-07-01"
