"uuid:ID","maxValue","minValue","isApproximate","instanceType","id"
"3a78188c-ebca-414e-aadd-aee7ac8b6315","300.0","300.0","False","Range","Range_2"
"73736537-0b64-406f-9faf-60aee83c565a","300.0","300.0","False","Range","Range_1"
"94c8feb1-a11a-4c49-b8af-95e36a455b66","100.0","50.0","False","Range","Range_3"
