"description","text","name","id","uuid:ID","label"
"","ITT","AP_1","AnalysisPopulation_1","5e4f7f3e-095a-4fee-8d3e-05ce6e0043e4",""
"","ITT","AP_4","AnalysisPopulation_2","25563843-2a00-40b8-9db6-2c839f724bab",""
