"codeSystem","id","decode","uuid:ID","codeSystemVersion","code"
"http://www.cdisc.org","Code_1","Interventional Study","6d24fe0c-6bf6-437c-92bd-8ea73f483dac","2023-09-29","C98388"
"http://www.cdisc.org","Code_2","Phase III Trial","45821481-5c94-4823-ad93-a500d966ab69","2023-09-29","C15602"
"http://www.cdisc.org","Code_6","Sponsor Approval Date","eaf29674-a2e0-4ee8-a98c-f816fcae5ffb","2023-09-29","C132352"
"http://www.cdisc.org","Code_7","Global","170a7da4-4209-4e26-a849-75cf990c32b4","2023-09-29","C68846"
"SPONSOR","Code_3","Vacines Group","c349075c-6f47-4a96-ba9d-468e7762d306","12","VAC"
"SPONSOR","Code_4","Regulatory","cdea63e9-8bf9-4f77-895f-bff7ad5b1e62","12","REG"
"http://www.cdisc.org","Code_10","Study Registry","f2571688-0a3c-4da7-b6f9-e26bab210da4","2023-09-29","C93453"
"ISO 3166 1 alpha3","Code_11","United Kingdom of Great Britain and Northern Ireland","c59ad3a6-bc0e-43ab-80a6-f20d061944fa","2020-08","GBR"
"http://www.cdisc.org","Code_12","Clinical Study Sponsor","4a8c30c8-e07f-4444-b541-ed4a7538de30","2023-09-29","C70793"
"ISO 3166 1 alpha3","Code_13","France","d2786b37-e818-4c1c-b592-f2c2911c374f","2020-08","FRA"
"http://www.cdisc.org","Code_42","Basic Research","1bff27a6-7a49-4a26-aced-bbbc72bb0074","2023-09-29","C15714"
"http://www.cdisc.org","Code_43","Device Feasibility Study","fd26e69e-728e-45b4-aab3-902718abd51f","2023-09-29","C139174"
"http://www.cdisc.org","Code_44","Efficacy Study","25bc06a6-f1da-42ec-ae72-de4b6a96201c","2023-09-29","C49666"
"SPONSOR","Code_39","Type 2 diabetes","4691e4da-2311-453b-9531-5d6fd1846274","12","T2_DIABETES"
"SNOMED","Code_40","Diabetes mellitus (disorder)","f1c26d6c-51b7-45f7-88aa-7f01ef5e9cb4","January 31, 2018","73211009"
"http://www.cdisc.org","Code_45","Parallel Study","dbd5da40-0c15-45b8-aadf-eed47c273aa1","2023-09-29","C82639"
"http://www.cdisc.org","Code_16","Visit","de6a54be-3399-485c-9a58-40dff5039663","2023-09-29","C25716"
"http://www.cdisc.org","Code_17","Clinic","4c680980-9d24-434b-bb3d-a58df7f5c335","2023-09-29","C51282"
"http://www.cdisc.org","Code_18","In Person","63073972-f3c7-4229-82a9-56c2675d10ee","2023-09-29","C175574"
"http://www.cdisc.org","Code_19","Visit","fe2084cf-380e-424e-a564-a35868d379ab","2023-09-29","C25716"
"http://www.cdisc.org","Code_20","Clinic","c456728e-47a5-4876-9c4e-993bf156581d","2023-09-29","C51282"
"http://www.cdisc.org","Code_21","In Person","abd7a969-db6f-449c-96fc-e1d4132247cf","2023-09-29","C175574"
"http://www.cdisc.org","Code_22","Visit","6518d490-fb69-4cec-82e7-dd03255e423d","2023-09-29","C25716"
"http://www.cdisc.org","Code_23","Clinic","775081ae-2ab3-4c56-9d74-a12468b0d91b","2023-09-29","C51282"
"http://www.cdisc.org","Code_24","In Person","ad73be3e-a062-456d-97b2-9e2ad83f9dca","2023-09-29","C175574"
"http://www.cdisc.org","Code_25","Visit","3999928a-539d-44d5-af4a-8526a0037cc5","2023-09-29","C25716"
"http://www.cdisc.org","Code_26","Clinic","0aaef972-e3ca-474b-b5ec-0a3de1e4aefd","2023-09-29","C51282"
"http://www.cdisc.org","Code_27","In Person","149cad86-70a3-47a4-9ca8-71a2e49dd514","2023-09-29","C175574"
"http://www.cdisc.org","Code_28","Visit","3de8b806-9c67-4a98-b0a1-2e569f6f1328","2023-09-29","C25716"
"http://www.cdisc.org","Code_29","Home","4ff0c241-ff3f-41e0-9008-facf1f8d454d","2023-09-29","C18002"
"http://www.cdisc.org","Code_30","Telephone Call","9c6fc47b-795c-4804-aa4d-f77c7f24af7f","2023-09-29","C171537"
"http://www.cdisc.org","Code_72","Male","5baf2a7f-3ea8-41f6-9427-a26a34ddc2d4","2023-09-29","C20197"
