"id","name","label","description","uuid:ID","studyArmDataOriginDescription"
"StudyArm_1","Active","","Active Substance","f92dce8c-49ea-42e8-92a6-953f522de593","Data collected from subjects"
"StudyArm_2","Placebo","","Placebo","5b48fb66-3bdf-4605-bf50-801b4aff161a","Data collected from subjects"
