"id","code","decode","codeSystemVersion","uuid:ID","codeSystem"
"Code_1","C98388","Interventional Study","2023-09-29","277255ba-b52e-4259-9c57-ce2b0a59098e","http://www.cdisc.org"
"Code_2","C15602","Phase III Trial","2023-09-29","f45fa923-e373-4b4e-bd89-cc00df4a8cfe","http://www.cdisc.org"
"Code_6","C132352","Sponsor Approval Date","2023-09-29","98d008ae-752f-4221-a58d-190f33a573ef","http://www.cdisc.org"
"Code_7","C68846","Global","2023-09-29","8e984d93-d04a-444c-b799-e2d82cf37d80","http://www.cdisc.org"
"Code_3","VAC","Vacines Group","12","0fc7d376-953c-454a-9cf7-885396a18efa","SPONSOR"
"Code_4","REG","Regulatory","12","bbdce19d-3c9e-4093-87bd-30664caa901b","SPONSOR"
"Code_10","C93453","Study Registry","2023-09-29","6a7dfa37-3ce1-4e77-807e-08b6d01b102b","http://www.cdisc.org"
"Code_11","GBR","United Kingdom of Great Britain and Northern Ireland","2020-08","62ec867e-9aab-4bba-abf1-969a28cc362f","ISO 3166 1 alpha3"
"Code_12","C70793","Clinical Study Sponsor","2023-09-29","f9ec0930-ec3b-4129-bcec-1587691ceb97","http://www.cdisc.org"
"Code_13","FRA","France","2020-08","1ff6d626-4e1f-4936-a4ad-2e2d93b6bc1b","ISO 3166 1 alpha3"
"Code_42","C15714","Basic Research","2023-09-29","34391214-6b5c-489e-8201-cc3fdf6c08b3","http://www.cdisc.org"
"Code_43","C139174","Device Feasibility Study","2023-09-29","cbd92cf5-18a4-49d8-939c-01cde2dd2854","http://www.cdisc.org"
"Code_44","C49666","Efficacy Study","2023-09-29","cae9c7cb-a966-4d1b-87d4-30900436f583","http://www.cdisc.org"
"Code_39","T2_DIABETES","Type 2 diabetes","12","1745811b-d38a-4252-af8e-080d9ee1148d","SPONSOR"
"Code_40","73211009","Diabetes mellitus (disorder)","January 31, 2018","38a44dc5-a082-4353-a51d-3a4a59bbc5f8","SNOMED"
"Code_45","C82639","Parallel Study","2023-09-29","abf839c7-f20c-4940-87d7-f5ca9d4a72f5","http://www.cdisc.org"
"Code_16","C25716","Visit","2023-09-29","c66cf211-b3aa-407b-85a1-041570b6f160","http://www.cdisc.org"
"Code_17","C51282","Clinic","2023-09-29","639880d2-e561-45b4-b61d-c765b77d4a9d","http://www.cdisc.org"
"Code_18","C175574","In Person","2023-09-29","9d50f664-9c08-4f56-9068-aba0c7844e96","http://www.cdisc.org"
"Code_19","C25716","Visit","2023-09-29","bde8bd2f-190d-4f9b-b231-8fc636dac7a7","http://www.cdisc.org"
"Code_20","C51282","Clinic","2023-09-29","ce84bd91-9e18-4c16-83fb-9d4abe078e43","http://www.cdisc.org"
"Code_21","C175574","In Person","2023-09-29","50f98531-03e4-4cf7-94bb-10f733fae51f","http://www.cdisc.org"
"Code_22","C25716","Visit","2023-09-29","03a412f9-dad1-441d-a1e4-41f16e05a6b1","http://www.cdisc.org"
"Code_23","C51282","Clinic","2023-09-29","50d62431-1801-4bd9-b1e7-7b16adadc4dd","http://www.cdisc.org"
"Code_24","C175574","In Person","2023-09-29","5645c872-452e-4386-92cf-0a036373bf7e","http://www.cdisc.org"
"Code_25","C25716","Visit","2023-09-29","b4fab951-9984-490f-b695-f43e225ec952","http://www.cdisc.org"
"Code_26","C51282","Clinic","2023-09-29","b63dd22c-8de2-4bb7-9554-21e9d3d64d7b","http://www.cdisc.org"
"Code_27","C175574","In Person","2023-09-29","b82fc5da-b1f9-4229-9ab2-844b6c88679e","http://www.cdisc.org"
"Code_28","C25716","Visit","2023-09-29","929d4696-b46c-4e5f-a254-e0cc63604a92","http://www.cdisc.org"
"Code_29","C18002","Home","2023-09-29","84167e86-8b8c-4cc3-b030-c59b4bc74cf3","http://www.cdisc.org"
"Code_30","C171537","Telephone Call","2023-09-29","5b7bebcd-f90c-4fc0-b524-f7761a074b79","http://www.cdisc.org"
"Code_72","C20197","Male","2023-09-29","394fb5d5-3459-4eae-8019-656dc3769d87","http://www.cdisc.org"
"Code_73","C16576","Female","2023-09-29","d52eb8f4-c538-4df6-bee3-8c70ab291184","http://www.cdisc.org"
"Code_74","C17998","Unknown","2023-09-29","22bd7a99-d4ea-4d25-9eae-32af6ba4a29e","http://www.cdisc.org"
"Code_75","C28421","Sex","","577d7a99-c22b-4055-a0c6-4467671adba9","NCI Thesaurus"
"Code_71","C28421","Sex","","83fb8de7-41ba-4120-986b-ad3ba93a276a","NCI Thesaurus"
"Code_77","C17998","Unknown","2023-09-29","ca8d6f63-0acb-49f5-ae94-93c5534c2ac1","http://www.cdisc.org"
"Code_78","C17049","Race","","d2e840c6-58fb-4eb9-9015-b4264b951c7e","NCI Thesaurus"
"Code_76","C17049","Race","","1e9fc20c-375b-4878-a0f2-5dcf7f6aad65","NCI Thesaurus"
"Code_80","C173522","Vital Signs Result","","cc186066-c8f4-4abd-946e-48a78969f3e0","NCI Thesaurus"
"Code_81","C28252","Kilogram","2023-09-29","18f72e74-ed88-4654-96fd-ad94396ef2e0","http://www.cdisc.org"
"Code_82","C48155","Gram","2023-09-29","85319818-0650-4de6-ab9c-ac8ee741b166","http://www.cdisc.org"
"Code_83","C48531","Pound","2023-09-29","33e9bccf-7ecb-44ab-8d1b-2b4adb8c572b","http://www.cdisc.org"
"Code_84","C48208","Unit of Weight","","f6216ff5-f72f-418a-bf82-4f49a28c884b","NCI Thesaurus"
"Code_79","C81328","Body Weight","","63d1426d-f071-421d-9255-192db71d6dd1","NCI Thesaurus"
"Code_31","C174267","Active Comparator Arm","2023-09-29","78d1e671-be28-4a68-9a8e-178848a65027","http://www.cdisc.org"
"Code_32","C188866","Data Generated Within Study","2023-09-29","ba4a63d2-ca73-47fa-963c-c9dcc2f56765","http://www.cdisc.org"
"Code_33","C174268","Placebo Comparator Arm","2023-09-29","7a010653-8441-4a87-ba32-3d4655ccbfc3","http://www.cdisc.org"
"Code_34","C188866","Data Generated Within Study","2023-09-29","0c47cf2a-c575-424f-bc7e-a64d1e12e3c2","http://www.cdisc.org"
"Code_41","C49659","Open Label Study","2023-09-29","a2dd7a80-3594-4750-a165-448a584af7ad","http://www.cdisc.org"
"Code_35","C48262","Trial Screening","2023-09-29","5ec22131-0367-4447-bc37-4b693fd8059d","http://www.cdisc.org"
"Code_36","C125938","Baseline Epoch","2023-09-29","63b4f3b0-f9cd-4663-91b0-8d72deb6e98e","http://www.cdisc.org"
"Code_37","C101526","Treatment Epoch","2023-09-29","f09c2f45-01fa-4ab6-9841-9ae84447bc89","http://www.cdisc.org"
"Code_38","C99158","Clinical Study Follow-up","2023-09-29","ae9c154c-748f-4585-b8ca-504f5ddbecd8","http://www.cdisc.org"
"Code_85","12345","Indication1","January 31, 2018","f38c4960-e945-447d-8f06-7a8ac35f53c6","SNOMED"
"Code_88","345678","Indication2","January 31, 2018","c0e2bdca-b4b9-43d1-bb07-193b4a0557f3","SNOMED"
"Code_86","X","Y","None set","e31c2695-3e62-4033-91cb-87c25235eede","ICD-10"
"Code_87","A","B","January 31, 2018","a616fb34-df5f-4e80-acd6-6afa9a1de86d","SNOMED"
"Code_89","DD","CC","None set","ae2283eb-e242-4087-a59d-6c7692c219d4","ICD-10"
"Code_90","A","B","January 31, 2018","00b5806b-e3d3-4a7e-b7f9-22e773f9cfa2","SNOMED"
"Code_95","C85826","Trial Primary Objective","2023-09-29","ec8fc01f-e02b-46a2-b977-4154567ddf10","http://www.cdisc.org"
"Code_94","C94496","Primary Endpoint","2023-09-29","f73d41a5-43f2-4bc0-b059-f519c86720b2","http://www.cdisc.org"
"Code_97","C85827","Trial Secondary Objective","2023-09-29","7f98535a-2aff-430e-a697-46ea83f3c1a9","http://www.cdisc.org"
"Code_96","C139173","Secondary Endpoint","2023-09-29","fd02bd5e-26f3-49dc-bca2-2e591365a0d9","http://www.cdisc.org"
"Code_98","C139173","Secondary Endpoint","2023-09-29","03f86afd-7df0-4f1e-b216-aba96f522155","http://www.cdisc.org"
"Code_99","C139173","Secondary Endpoint","2023-09-29","f39a574f-da02-4a66-9f8f-01c3499aaaeb","http://www.cdisc.org"
"Code_100","C139173","Secondary Endpoint","2023-09-29","8b6a94ad-d826-4b37-9384-ae8ed1932b88","http://www.cdisc.org"
"Code_101","C139173","Secondary Endpoint","2023-09-29","382ebbb3-a779-4d92-b33b-fd794c760945","http://www.cdisc.org"
"Code_102","C139173","Secondary Endpoint","2023-09-29","8a718a79-8b91-47cd-9244-af97a0e4f8cf","http://www.cdisc.org"
"Code_103","C139173","Secondary Endpoint","2023-09-29","44e48b7b-e1f4-4c24-8d74-5342ea750b93","http://www.cdisc.org"
"Code_104","C139173","Secondary Endpoint","2023-09-29","7a9d9b27-1466-43ec-93bb-3a69e679fb2e","http://www.cdisc.org"
"Code_105","C139173","Secondary Endpoint","2023-09-29","398fe98e-2937-4c3d-9340-c039200dc97e","http://www.cdisc.org"
"Code_106","C139173","Secondary Endpoint","2023-09-29","93fd3fdb-e46e-4e28-9c22-f756e6623e64","http://www.cdisc.org"
"Code_107","C139173","Secondary Endpoint","2023-09-29","9704f5a6-1fc7-456f-a749-9e325d2de81e","http://www.cdisc.org"
"Code_91","C49636","Both","2023-09-29","bd73e427-fa6e-432e-8d39-9f1f431b7d91","http://www.cdisc.org"
"Code_92","C20197","Male","2023-09-29","e10b7955-81d6-416c-b41e-c0d205181043","http://www.cdisc.org"
"Code_93","C16576","Female","2023-09-29","ad0b07ad-a22a-4098-a18f-71abfb00a33d","http://www.cdisc.org"
"Code_48","C201264","Before","2023-09-29","3d3de411-a05b-4370-af9b-2dd7bcbf46bb","http://www.cdisc.org"
"Code_50","C201265","Start to Start","2023-09-29","11204b07-86f6-4a27-ad4c-e1863b7f1ccb","http://www.cdisc.org"
"Code_53","C201264","Before","2023-09-29","2f1cf504-c582-4c85-b40c-f644975518e0","http://www.cdisc.org"
"Code_55","C201265","Start to Start","2023-09-29","12491c4d-32c2-4db4-93c4-b54752bd2322","http://www.cdisc.org"
"Code_56","C201264","Fixed Reference","2023-09-29","084597e5-9c7f-4131-9395-c452e1a9a5ca","http://www.cdisc.org"
"Code_60","C201265","Start to Start","2023-09-29","3a6de89a-6183-4b13-8af5-e879c9029b52","http://www.cdisc.org"
"Code_62","C201264","After","2023-09-29","947a9840-af01-437d-90ce-c978742e1b8d","http://www.cdisc.org"
"Code_65","C201265","Start to Start","2023-09-29","d49645f4-34c9-406d-b280-c9d4f6f9d003","http://www.cdisc.org"
"Code_67","C201264","After","2023-09-29","0a4cc840-4bfa-4c60-9461-d64dae19de00","http://www.cdisc.org"
"Code_70","C201265","Start to Start","2023-09-29","9e09ecff-059a-43f1-871b-67747e26dc0b","http://www.cdisc.org"
"Code_5","C85255","Draft","2023-09-29","2ea6ff29-c5df-4b03-a0a2-4dd8f41c91aa","http://www.cdisc.org"
"Code_8","C99903x1","Protocol Effective Date","2023-09-29","aba2bde7-0ca6-4225-bd75-fa1b970649de","http://www.cdisc.org"
"Code_9","C68846","Global","2023-09-29","6588ce62-83cb-4db4-804a-91975983bf61","http://www.cdisc.org"
