"isApproximate","maxValue","uuid:ID","instanceType","minValue","id"
"False","300.0","1a332942-af72-41af-8cfa-f4f40420b441","Range","300.0","Range_2"
"False","300.0","b3c213c8-52a1-4ab8-b490-750b04401b5a","Range","300.0","Range_1"
"False","100.0","e92b467e-b6d7-4fc2-9b8c-c1dc27e50f83","Range","50.0","Range_3"
