"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","d91f4399-8cd6-4934-9c6e-fd4d72782991","StudyAmendmentReason",""
"StudyAmendmentReason_2","f06b92d2-b6ca-4341-b871-d74d5ef05a35","StudyAmendmentReason","Fix typographical errors"
