"text","id","name","uuid:ID"
"ITT","AnalysisPopulation_1","AP_1","9c224e9e-3300-4d4c-b21a-33810b247805"
"ITT","AnalysisPopulation_2","AP_4","efa30dd1-297f-4e15-8fd2-9aa9de8f9f29"
