"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","1276f050-5651-46a9-8467-cad610bb2980"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","886dc358-688f-47c6-8425-f501770c02bd"
