"label","datatype","id","name","instanceType","isEnabled","isRequired","uuid:ID"
"DSDECOD","text","BiomedicalConceptProperty_116","DSDECOD","BiomedicalConceptProperty","True","True","9a261647-ef4d-4ea9-b059-1d9a1d9497c5"
"DSTERM","text","BiomedicalConceptProperty_117","DSTERM","BiomedicalConceptProperty","True","True","851441c8-ce49-40ff-91a5-f0f9da37d0e3"
"DSSTDTC","datetime","BiomedicalConceptProperty_118","DSSTDTC","BiomedicalConceptProperty","True","True","98db175d-3241-4946-8493-d0dd21be0f49"
"Sex","string","BiomedicalConceptProperty_119","Sex","BiomedicalConceptProperty","True","True","1fdfae61-b0a0-45f9-a7ad-64e905793a19"
"Race","string","BiomedicalConceptProperty_120","Race","BiomedicalConceptProperty","True","True","5bd4dae0-1e38-4a3c-96d6-bc1a7c130363"
"VSTESTCD","","BiomedicalConceptProperty_121","VSTESTCD","BiomedicalConceptProperty","True","True","bc4cc7d8-0d4a-4328-b9aa-c56f91808b11"
"VSORRES","float","BiomedicalConceptProperty_122","VSORRES","BiomedicalConceptProperty","True","True","1df3f1b1-dd66-45ee-b937-2be236e608be"
"VSORRESU","","BiomedicalConceptProperty_123","VSORRESU","BiomedicalConceptProperty","True","True","7f2eb5cb-1dcc-4a28-85f9-a89823dfcd76"
"VSLOC","","BiomedicalConceptProperty_124","VSLOC","BiomedicalConceptProperty","True","True","e14e1e36-84f2-479e-90e0-534adb61ac7c"
"VSTESTCD","","BiomedicalConceptProperty_125","VSTESTCD","BiomedicalConceptProperty","True","True","01e088fb-8b9c-4516-a642-6d05e0ad990e"
"VSORRES","float","BiomedicalConceptProperty_126","VSORRES","BiomedicalConceptProperty","True","True","a8f70b30-d053-4e7c-932c-ea910e0904dc"
"VSORRESU","","BiomedicalConceptProperty_127","VSORRESU","BiomedicalConceptProperty","True","True","51a58c1a-2439-4219-a8e9-95d02d0ee040"
"VSTESTCD","","BiomedicalConceptProperty_128","VSTESTCD","BiomedicalConceptProperty","True","True","8cd767af-ab00-4158-9959-bb9bccf03419"
"VSORRES","float","BiomedicalConceptProperty_129","VSORRES","BiomedicalConceptProperty","True","True","3dfaf9cb-582e-4985-b813-59de1c7be4f1"
"VSORRESU","","BiomedicalConceptProperty_130","VSORRESU","BiomedicalConceptProperty","True","True","f5309409-2a8f-42ab-9140-8c547472ca96"
"LBTESTCD","","BiomedicalConceptProperty_131","LBTESTCD","BiomedicalConceptProperty","True","True","f10d08ee-7483-40ee-8021-b9f7eaf95eb6"
"LBORRES","float","BiomedicalConceptProperty_132","LBORRES","BiomedicalConceptProperty","True","True","cef15932-4831-484e-914f-d4b81bcbdba0"
"LBORRESU","","BiomedicalConceptProperty_133","LBORRESU","BiomedicalConceptProperty","True","True","00425e2c-b479-42ae-acd5-d88e78d4f7ba"
"LBSPEC","","BiomedicalConceptProperty_134","LBSPEC","BiomedicalConceptProperty","True","True","1604b878-d87a-4d9c-b12c-575bbf7b1de4"
"LBFAST","","BiomedicalConceptProperty_135","LBFAST","BiomedicalConceptProperty","True","True","d520d5c4-a962-4c39-a76e-a753d055b1ff"
"LBTESTCD","","BiomedicalConceptProperty_136","LBTESTCD","BiomedicalConceptProperty","True","True","33066208-208d-4f92-b66e-db3ba0cfacad"
"LBORRES","text","BiomedicalConceptProperty_137","LBORRES","BiomedicalConceptProperty","True","True","ff6bd2f7-4a08-4ba2-a3ea-37c3b8b6cc6d"
"LBSPEC","","BiomedicalConceptProperty_138","LBSPEC","BiomedicalConceptProperty","True","True","db0610b7-b76f-4e5e-b465-6746180f75fb"
"LBFAST","","BiomedicalConceptProperty_139","LBFAST","BiomedicalConceptProperty","True","True","bf1457f4-ceaa-4541-afba-c7d92a2fe23a"
"LBTESTCD","","BiomedicalConceptProperty_140","LBTESTCD","BiomedicalConceptProperty","True","True","e51ac564-8918-4f9e-b34b-8abaf34e5918"
"LBORRES","float","BiomedicalConceptProperty_141","LBORRES","BiomedicalConceptProperty","True","True","e8079c5e-713a-4cdb-966e-2cafe8edbba3"
"LBORRESU","","BiomedicalConceptProperty_142","LBORRESU","BiomedicalConceptProperty","True","True","5fca2272-d187-410b-9ff8-48b164decf99"
"LBSPEC","","BiomedicalConceptProperty_143","LBSPEC","BiomedicalConceptProperty","True","True","71e3ddcc-a6e6-4413-ae53-997d43cf7836"
"LBFAST","","BiomedicalConceptProperty_144","LBFAST","BiomedicalConceptProperty","True","True","20d6fbfe-a9db-48bd-a7f5-2040920a2d35"
"LBTESTCD","","BiomedicalConceptProperty_145","LBTESTCD","BiomedicalConceptProperty","True","True","cbb7954a-4145-431d-8889-77818136b05a"
