"id","name","parameterMap","text","label","uuid:ID","description"
"SyntaxTemplateDictionary_1","IE_Dict","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","","IE Dictionary","aa7c0ba9-a033-412a-abfd-0f47660c1aa3","Dictionary for IE"
"SyntaxTemplateDictionary_2","AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","","Assessment Dictionary","a5857524-f134-44fa-b048-5bcd1aabe2c5","Dictionary for Study Assessments"
