"label","datatype","id","name","isEnabled","instanceType","uuid:ID","isRequired"
"DSDECOD","text","BiomedicalConceptProperty_116","DSDECOD","True","BiomedicalConceptProperty","afb63e10-9066-4acc-a4b7-3039b57ded08","True"
"DSTERM","text","BiomedicalConceptProperty_117","DSTERM","True","BiomedicalConceptProperty","0b7ce566-b51f-4fd6-b4c0-48fa229b8421","True"
"DSSTDTC","datetime","BiomedicalConceptProperty_118","DSSTDTC","True","BiomedicalConceptProperty","807cedef-9a90-4f4b-b126-162c65cfb918","True"
"Sex","string","BiomedicalConceptProperty_119","Sex","True","BiomedicalConceptProperty","6dc95f2a-0f64-4855-8525-319f191cb3b1","True"
"Race","string","BiomedicalConceptProperty_120","Race","True","BiomedicalConceptProperty","29c9c9eb-e79b-40b2-adac-df7f81a57219","True"
"VSTESTCD","","BiomedicalConceptProperty_121","VSTESTCD","True","BiomedicalConceptProperty","00a06088-550a-4b21-a6ea-82cdb53370dc","True"
"VSORRES","float","BiomedicalConceptProperty_122","VSORRES","True","BiomedicalConceptProperty","368bc1f4-c978-477d-a470-c349336ca957","True"
"VSORRESU","","BiomedicalConceptProperty_123","VSORRESU","True","BiomedicalConceptProperty","11c5221c-ff06-415b-bd5a-64c2c26542d1","True"
"VSLOC","","BiomedicalConceptProperty_124","VSLOC","True","BiomedicalConceptProperty","00e2cccc-fc26-435c-8b61-4fd8702ff73a","True"
"VSTESTCD","","BiomedicalConceptProperty_125","VSTESTCD","True","BiomedicalConceptProperty","4f72dc4f-18cc-4e5a-9a57-a0f49b11d395","True"
"VSORRES","float","BiomedicalConceptProperty_126","VSORRES","True","BiomedicalConceptProperty","28dae011-0910-45a0-a22e-a50d2bc05eba","True"
"VSORRESU","","BiomedicalConceptProperty_127","VSORRESU","True","BiomedicalConceptProperty","45951334-55cf-4b4a-9ecd-4a94cd6706a0","True"
"VSTESTCD","","BiomedicalConceptProperty_128","VSTESTCD","True","BiomedicalConceptProperty","18436af7-5b7e-4295-8fe3-28cf6541e762","True"
"VSORRES","float","BiomedicalConceptProperty_129","VSORRES","True","BiomedicalConceptProperty","3bad57d9-887f-477c-a5b8-5e3828311a2e","True"
"VSORRESU","","BiomedicalConceptProperty_130","VSORRESU","True","BiomedicalConceptProperty","c4ee28ee-6552-47eb-8969-471acfa5103e","True"
"LBTESTCD","","BiomedicalConceptProperty_131","LBTESTCD","True","BiomedicalConceptProperty","05ca24cf-5e19-4c8a-9f0a-86ffd4513014","True"
