"description","label","id","name","instanceType","uuid:ID"
"Screening Epoch","Screening","StudyEpoch_1","Screening","StudyEpoch","78ef9ecf-4898-41c1-bf0b-883e7c07b10e"
"Treatment Epoch","Treatment One","StudyEpoch_2","Treatment 1","StudyEpoch","57f65df4-aae8-4f5d-8dbd-9ef6a62f8056"
"Treatment Epoch","Treatment Two","StudyEpoch_3","Treatment 2","StudyEpoch","b5bbaa32-3f9b-4720-b91b-c6cc352f4e97"
"Treatment Epoch","Treatment Three","StudyEpoch_4","Treatment 3","StudyEpoch","7d26a490-00ec-44db-88a8-2bf3acb7d706"
"Follow-up Epoch","Follow Up","StudyEpoch_5","Follow-Up","StudyEpoch","b78dcc45-9faf-4dec-8f7e-61749de9578f"
