"id","isApproximate","minValue","instanceType","uuid:ID","maxValue"
"Range_2","False","300.0","Range","181f260c-0017-4af8-b5aa-3fa074ce9351","300.0"
"Range_1","False","300.0","Range","4412ca95-4c60-4ab5-9ad5-d043f7c10792","300.0"
"Range_3","False","50.0","Range","09eb9b34-d877-42bc-aec2-204342d8fda8","100.0"
