"description","label","id","name","instanceType","uuid:ID"
"Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary","6899bb69-2a29-4372-9880-4b1f02435bc0"
"Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary","847f0946-b75b-45a0-8f70-544bdf146c75"
