"label","id","instanceType","isRequired","isEnabled","uuid:ID","name","datatype"
"Sex","BiomedicalConceptProperty_116","BiomedicalConceptProperty","True","True","1c25f70c-dee5-4ca5-9dd9-5b5345390572","Sex","string"
"Race","BiomedicalConceptProperty_117","BiomedicalConceptProperty","True","True","d0a306a0-890a-4176-9263-115aeb070f0b","Race","string"
"VSTESTCD","BiomedicalConceptProperty_118","BiomedicalConceptProperty","True","True","81f0d1e5-38d8-4c9b-84be-8016d15bfe7c","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_119","BiomedicalConceptProperty","True","True","c190ad05-a605-43b2-8ebe-16981e6e0ceb","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_120","BiomedicalConceptProperty","True","True","1b8cbefb-83bc-4a23-b9ab-7a30a394ce9e","VSORRESU",""
"VSLOC","BiomedicalConceptProperty_121","BiomedicalConceptProperty","True","True","a31416a0-192b-4e8e-818c-b6a2ea972a2f","VSLOC",""
"VSTESTCD","BiomedicalConceptProperty_122","BiomedicalConceptProperty","True","True","15123d90-9390-4aa7-a405-c10c508842a7","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_123","BiomedicalConceptProperty","True","True","50b74355-0c85-43ad-97f1-229b74779517","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_124","BiomedicalConceptProperty","True","True","75a16169-fae0-4e93-b10c-c9d3c437bcff","VSORRESU",""
"VSTESTCD","BiomedicalConceptProperty_125","BiomedicalConceptProperty","True","True","be00043d-47e0-4500-9d9f-710421b54978","VSTESTCD",""
"VSORRES","BiomedicalConceptProperty_126","BiomedicalConceptProperty","True","True","3daedbd5-0928-476d-9132-8c56df14ea99","VSORRES","float"
"VSORRESU","BiomedicalConceptProperty_127","BiomedicalConceptProperty","True","True","0cb7b6a6-6211-4978-8edc-5d14e1f250b7","VSORRESU",""
"LBTESTCD","BiomedicalConceptProperty_128","BiomedicalConceptProperty","True","True","233afc62-f814-422c-bbc6-60db175fff4e","LBTESTCD",""
"LBORRES","BiomedicalConceptProperty_129","BiomedicalConceptProperty","True","True","0d14454e-41a4-47d3-982a-1133987868c2","LBORRES","float"
"LBORRESU","BiomedicalConceptProperty_130","BiomedicalConceptProperty","True","True","9274597a-1725-4216-b1cb-b74750771168","LBORRESU",""
