"uuid:ID","otherReason","instanceType","id"
"a61d59ae-8887-45c7-945a-43a377f996f9","","StudyAmendmentReason","StudyAmendmentReason_1"
"f9fb18e6-0ff6-477a-82a8-3a6699b2f5f3","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
