"id","instanceType","isApproximate","minValue","uuid:ID","maxValue"
"Range_2","Range","False","300.0","6d762075-8c15-4c4a-83d1-39433488e163","300.0"
"Range_1","Range","False","300.0","90f62859-f33a-4878-8bca-aa5bfb4a34c8","300.0"
"Range_3","Range","False","50.0","16866f03-a376-412c-b627-372a990fb255","100.0"
