"label","id","instanceType","uuid:ID","name","description"
"IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","f310aa7c-3f3a-4427-a3dc-778e8bba8e10","IE_Dict","Dictionary for IE"
"Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","03ac20f7-1122-41f3-ab40-c9722c78aa3b","AS_Dict","Dictionary for Study Assessments"
