"id","uuid:ID","isApproximate","maxValue","minValue"
"Range_2","cf351d47-768f-42a0-9023-500ce7c084fa","False","300.0","300.0"
"Range_1","447bfa9c-e534-431b-b1c3-660637608712","False","300.0","300.0"
