"name","id","label","dateValue","uuid:ID","description"
"D_APPROVE","GovernanceDate_1","Design Approval","2006-06-01","ac15cb71-5d7e-49f0-a5d0-930faca342b1","Design approval date"
"P_APPROVE","GovernanceDate_2","Protocol Approval","2006-07-01","df900b4c-52f9-439f-bd18-2334c833d149","Protocol document approval date"
