"description","name","id","label","uuid:ID"
"Screening Epoch","Screening","StudyEpoch_1","Screening","650681c3-8773-4c22-b6ad-62d28dc48d1f"
"Baseline Epoch","Baseline","StudyEpoch_2","Baseline","48189456-9964-48e6-a091-84bd10875f2c"
"Treatment Epoch","Treatment","StudyEpoch_3","Treatment","ee324cdb-d611-4982-879a-5b178470a1a7"
"Follow-up Epoch","Follow-Up","StudyEpoch_4","Follow-Up","a7c11462-9863-4d3e-a2a5-dbb653019167"
