"id","datatype","label","isEnabled","instanceType","name","isRequired","uuid:ID"
"BiomedicalConceptProperty_116","text","DSDECOD","True","BiomedicalConceptProperty","DSDECOD","True","47a98f49-d2b0-4799-98d0-a69664d1c1d9"
"BiomedicalConceptProperty_117","text","DSTERM","True","BiomedicalConceptProperty","DSTERM","True","61fe676a-3636-4ed1-9576-a224d0778c9f"
"BiomedicalConceptProperty_118","datetime","DSSTDTC","True","BiomedicalConceptProperty","DSSTDTC","True","9a1c8ad7-2722-4667-9576-e7a366f92630"
"BiomedicalConceptProperty_119","string","Sex","True","BiomedicalConceptProperty","Sex","True","047ab371-5b83-4b57-8877-730049c1bdd2"
"BiomedicalConceptProperty_120","string","Race","True","BiomedicalConceptProperty","Race","True","a2fbe248-ecc6-40d9-af5f-3dcfcd12f984"
"BiomedicalConceptProperty_121","","VSTESTCD","True","BiomedicalConceptProperty","VSTESTCD","True","148cce52-23c5-4c7c-ab4b-d9d70bfbaa89"
"BiomedicalConceptProperty_122","float","VSORRES","True","BiomedicalConceptProperty","VSORRES","True","9a16d5f8-c22d-4131-81d9-d874470b7268"
"BiomedicalConceptProperty_123","","VSORRESU","True","BiomedicalConceptProperty","VSORRESU","True","fa120fe0-8223-4a88-8a7e-851ef174521c"
"BiomedicalConceptProperty_124","","VSLOC","True","BiomedicalConceptProperty","VSLOC","True","382df126-7176-4302-987d-e9826592cc76"
"BiomedicalConceptProperty_125","","VSTESTCD","True","BiomedicalConceptProperty","VSTESTCD","True","4907088b-0fae-4fe2-9f00-27648a4648f1"
"BiomedicalConceptProperty_126","float","VSORRES","True","BiomedicalConceptProperty","VSORRES","True","9c8d1d5e-c5e2-4056-88c1-d18d712bc020"
"BiomedicalConceptProperty_127","","VSORRESU","True","BiomedicalConceptProperty","VSORRESU","True","668feeed-11ff-432b-bd19-34e0581dd63a"
"BiomedicalConceptProperty_128","","VSTESTCD","True","BiomedicalConceptProperty","VSTESTCD","True","26ade513-21bb-4a2c-afe8-eb9025dc5d3a"
"BiomedicalConceptProperty_129","float","VSORRES","True","BiomedicalConceptProperty","VSORRES","True","3828c23f-3eae-4daa-9c8e-66b06618b326"
"BiomedicalConceptProperty_130","","VSORRESU","True","BiomedicalConceptProperty","VSORRESU","True","5b61628f-161b-400c-bf53-eedc91639f9a"
"BiomedicalConceptProperty_131","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","2e5418b9-a2fb-4cf3-a544-ea91384b17ce"
"BiomedicalConceptProperty_132","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","766c35cc-c260-499a-af78-dd14aae46d29"
"BiomedicalConceptProperty_133","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","60948f64-95cc-4635-a711-309248f7f670"
"BiomedicalConceptProperty_134","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","920456ea-3f96-4699-a4cb-6cbf2be05498"
"BiomedicalConceptProperty_135","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","bdd1d592-dcd5-46bf-91c5-b230089b01a9"
"BiomedicalConceptProperty_136","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","227eb803-5c8e-479c-b16d-97562190235d"
"BiomedicalConceptProperty_137","text","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","6a036dac-da08-4309-9a2f-c333ac5f18db"
"BiomedicalConceptProperty_138","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","d35e7323-6781-4576-8ea5-efc63512da04"
"BiomedicalConceptProperty_139","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","a7909071-ff5d-4b38-b54c-d54156f2efa7"
"BiomedicalConceptProperty_140","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","c4cc9c1b-b54c-4b7e-b030-69efc80844b1"
"BiomedicalConceptProperty_141","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","54c61aa2-035f-4941-8caa-95b1333eb66b"
"BiomedicalConceptProperty_142","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","9ae89157-a7d1-4f72-9c47-f7d81db9327e"
"BiomedicalConceptProperty_143","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","446e8cf5-7454-498d-933c-9a39a95f80ea"
"BiomedicalConceptProperty_144","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","d05adfa3-d3c7-44ea-ac1d-e89681b5d050"
"BiomedicalConceptProperty_145","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","92d1dfb2-2111-4f2e-af90-24baa4dcd505"
"BiomedicalConceptProperty_146","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","9f3afae6-6dc2-49a6-9da1-2d3b3b2e44ff"
"BiomedicalConceptProperty_147","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","9e556fee-cb7b-4646-9447-0b98159fba39"
"BiomedicalConceptProperty_148","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","aadde992-af13-43a4-b1e2-c7cba59c0228"
"BiomedicalConceptProperty_149","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","76f31105-5551-4a0c-8f4e-d359893f991c"
"BiomedicalConceptProperty_150","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","7e1c5799-15f7-40dd-9328-ab2a87cc15b4"
"BiomedicalConceptProperty_151","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","5a04db19-d6cf-4004-b9da-4f222d1a750d"
"BiomedicalConceptProperty_152","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","44a527bc-5854-4cf8-9db1-cf95dcc1a55c"
"BiomedicalConceptProperty_153","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","5ab2a384-45e9-41a5-bc6f-bcf339e10985"
"BiomedicalConceptProperty_154","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","759b5a4d-068c-4f9d-b7c7-7c74591eebfd"
"BiomedicalConceptProperty_155","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","ae3fdaeb-efb4-4e3e-b1d6-fb9bb50f0b92"
"BiomedicalConceptProperty_156","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","4e064288-88de-4091-aaee-e0adfb6eb867"
"BiomedicalConceptProperty_157","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","faf32aee-b073-405b-a3f4-23f67f254381"
"BiomedicalConceptProperty_158","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","dbc2352b-a8fc-4045-8e94-d0f1a6d5b5eb"
"BiomedicalConceptProperty_159","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","8c3d8147-dc91-45ae-a00e-176b23d0469c"
"BiomedicalConceptProperty_160","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","2a8d0273-235f-4ec7-8616-ae78f84f2801"
"BiomedicalConceptProperty_161","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","fc556e64-84ae-4899-9cb2-7a99959f8b91"
"BiomedicalConceptProperty_162","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","3e0cf7e0-127e-4dfa-ba9a-d68c79161185"
"BiomedicalConceptProperty_163","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","9ee6a520-4e53-47e8-8c1e-4fa05d7fc4ee"
"BiomedicalConceptProperty_164","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","cfbfa8e5-eb9c-4528-ade4-7f661bc79bf4"
"BiomedicalConceptProperty_165","","LBTESTCD","True","BiomedicalConceptProperty","LBTESTCD","True","f52faac7-199f-4f09-8dc6-c8330664014d"
"BiomedicalConceptProperty_166","float","LBORRES","True","BiomedicalConceptProperty","LBORRES","True","09de718b-830f-4fcd-acff-da5fc109b131"
"BiomedicalConceptProperty_167","","LBORRESU","True","BiomedicalConceptProperty","LBORRESU","True","fe657d05-7143-46d0-a4ff-af3676be93a6"
"BiomedicalConceptProperty_168","","LBSPEC","True","BiomedicalConceptProperty","LBSPEC","True","8ab16b72-d35f-4b72-9a36-1bbc762c4de8"
"BiomedicalConceptProperty_169","","LBFAST","True","BiomedicalConceptProperty","LBFAST","True","23f67c25-45a3-4545-a01e-0615bd49f2b8"
"BiomedicalConceptProperty_1","text","AETERM","True","BiomedicalConceptProperty","AETERM","True","b493385f-0824-4309-bba6-ba2c3b964f44"
"BiomedicalConceptProperty_2","text","AEDECOD","True","BiomedicalConceptProperty","AEDECOD","True","c2925974-8acc-4660-8797-f3cfcd56287b"
"BiomedicalConceptProperty_3","text","AEPRESP","True","BiomedicalConceptProperty","AEPRESP","True","e2a4dd5d-322e-4103-a655-ef1fd7e5ecf1"
"BiomedicalConceptProperty_4","text","AELOC","True","BiomedicalConceptProperty","AELOC","True","d157dead-e49f-42b5-98c1-0ab0ace6823e"
"BiomedicalConceptProperty_5","text","AESEV","True","BiomedicalConceptProperty","AESEV","True","46be2922-53e5-4df5-971a-f132fa5a9600"
"BiomedicalConceptProperty_6","text","AESER","True","BiomedicalConceptProperty","AESER","True","6e2fbdf5-c8b6-4f48-bd2f-945531fb7280"
"BiomedicalConceptProperty_7","text","AEACN","True","BiomedicalConceptProperty","AEACN","True","6ece2e51-dbd5-4aa3-b8f5-c6eada0a43fd"
"BiomedicalConceptProperty_8","text","AEACNOTH","True","BiomedicalConceptProperty","AEACNOTH","True","9792e960-114d-4e04-b158-c902decac6e5"
"BiomedicalConceptProperty_9","text","AEREL","True","BiomedicalConceptProperty","AEREL","True","17852359-0c2b-4812-823b-82b29c1a6eec"
"BiomedicalConceptProperty_10","text","AERELNST","True","BiomedicalConceptProperty","AERELNST","True","c661a4ac-8096-4efc-9778-31f36b0c8540"
"BiomedicalConceptProperty_11","text","AEPATT","True","BiomedicalConceptProperty","AEPATT","True","c912d6d3-8b8f-40b2-be1e-48e4d5fc9b31"
"BiomedicalConceptProperty_12","text","AEOUT","True","BiomedicalConceptProperty","AEOUT","True","474cdc8d-b996-40af-98c1-9cec2bf53c93"
"BiomedicalConceptProperty_13","text","AESCAN","True","BiomedicalConceptProperty","AESCAN","True","0680f67e-7fd9-4b0b-a3d7-28df9b2e609f"
"BiomedicalConceptProperty_14","text","AESCONG","True","BiomedicalConceptProperty","AESCONG","True","4b47299d-d14f-4e48-bcc3-ae5da18ee1e9"
"BiomedicalConceptProperty_15","text","AESDISAB","True","BiomedicalConceptProperty","AESDISAB","True","c7d32e2a-74f2-41c3-b769-3d1c06c4484d"
"BiomedicalConceptProperty_16","text","AESDTH","True","BiomedicalConceptProperty","AESDTH","True","d6240bae-0e6d-4810-ad1b-71396e0c0a20"
"BiomedicalConceptProperty_17","text","AESHOSP","True","BiomedicalConceptProperty","AESHOSP","True","88ef5816-03dd-4755-966f-a1bfe39382c8"
"BiomedicalConceptProperty_18","text","AESLIFE","True","BiomedicalConceptProperty","AESLIFE","True","27244701-16b4-43ed-b03d-40ee89244cef"
"BiomedicalConceptProperty_19","text","AESOD","True","BiomedicalConceptProperty","AESOD","True","0d657648-067b-47e2-8f47-6024148e9fca"
"BiomedicalConceptProperty_20","text","AESMIE","True","BiomedicalConceptProperty","AESMIE","True","59cea07f-1420-4389-9591-620962e251a3"
