"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","b5a714bf-ba86-40b0-8bc2-2c34797bf32b","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","61dd8985-5c5f-4041-9006-d065805d6e0f","StudyAmendmentReason"
