"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","a1eb0a8e-758e-44ea-b319-2692c96f385e","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","1728b576-7861-4e14-bf94-20f8bd3aadbc","StudyAmendmentReason_2"
