"minValue","isApproximate","id","uuid:ID","instanceType","maxValue"
"300.0","False","Range_2","dab2b410-db56-4bc9-b437-1d7dfeb10a7f","Range","300.0"
"300.0","False","Range_1","c9b2f697-0ebd-454a-b7d8-9f206cf1bd92","Range","300.0"
"50.0","False","Range_3","57f4dc56-2f3b-4ac8-8413-df8364399659","Range","100.0"
