"otherReason","uuid:ID","instanceType","id"
"","847d0b4f-0c60-4715-b3de-21c1e1103cd3","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","957212c7-a033-43a0-8a40-c3955c385258","StudyAmendmentReason","StudyAmendmentReason_2"
